id,Recencia,Monetizacao,Frequencia,R,F,M,Score_RFM,Segmento_RFM,Segmento de cliente,Marketing Action
1,810,1000.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
2,295,37.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
3,521,1900.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
4,719,24.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
5,1388,1900.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
6,1467,560.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
7,2143,1099.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
8,1952,245.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
9,977,40.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
10,905,110.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
11,1170,290.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
12,1623,2800.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
13,791,145.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
14,1442,45.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
15,783,250.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
16,2183,2100.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
17,1682,450.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
18,148,89.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
19,1839,700.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
20,436,3900.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
21,1930,43.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
22,246,260.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
23,592,2100.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
24,885,43.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
25,1492,199.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
26,551,860.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
27,792,1350.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
28,1665,300.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
29,1454,1800.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
30,1422,450.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
31,263,300.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
32,2073,2500.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
33,740,1210.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
34,474,89.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
35,785,140.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
36,217,130.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
37,1693,2500.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
38,1010,37.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
39,1445,980.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
40,997,156.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
41,94,89.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
42,764,134.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
43,1105,56.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
44,1387,2500.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
45,1176,1100.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
46,985,1870.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
47,723,89.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
48,1384,60.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
49,124,99.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
50,1546,320.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
51,1101,60.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
52,2129,3200.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
53,926,90.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
54,1354,560.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
55,1754,110.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
56,9,89.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
57,2121,679.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
58,2122,600.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
